Binomial.name;NCBI_ID;Motility;Gram.staining;Aerophilicity;Extreme.environment.tolerance;Biofilm.formation;Animal.pathogenicity;Biosafety.level;Health.association;Host.association;Plant.pathogenicity;Spore.formation;Hemolysis;Cell.shape;Member.of.WA.subset;Superkingdom;Phylum;Class;Order;Family;Genus;Species;FTP.path;Fasta.file;Gff.file;Gene_file;Gene_location
Streptomyces sindenensis;67363;FALSE;gram stain positive;aerobic;NA;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces sindenensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/649/035/GCA_014649035.1_ASM1464903v1;GCA_014649035.1_ASM1464903v1_genomic.fasta;GCA_014649035.1_ASM1464903v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014649035.1_ASM1464903v1_genomic.txt
Streptomyces tanashiensis;67367;FALSE;gram stain positive;aerobic;NA;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces tanashiensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/427/415/GCF_026427415.1_ASM2642741v1;GCF_026427415.1_ASM2642741v1_genomic.fasta;GCF_026427415.1_ASM2642741v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_026427415.1_ASM2642741v1_genomic.txt
Streptomyces violarus;67380;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces violarus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/650/255/GCA_014650255.1_ASM1465025v1;GCA_014650255.1_ASM1465025v1_genomic.fasta;GCA_014650255.1_ASM1465025v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014650255.1_ASM1465025v1_genomic.txt
Streptomyces violascens;67381;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces violascens;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/649/955/GCA_014649955.1_ASM1464995v1;GCA_014649955.1_ASM1464995v1_genomic.fasta;GCA_014649955.1_ASM1464995v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014649955.1_ASM1464995v1_genomic.txt
Streptomyces xanthochromogenes;67384;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces xanthochromogenes;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/541/015/GCF_036541015.1_ASM3654101v1;GCF_036541015.1_ASM3654101v1_genomic.fasta;GCF_036541015.1_ASM3654101v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_036541015.1_ASM3654101v1_genomic.txt
Streptomyces yokosukanensis;67386;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces yokosukanensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/514/035/GCF_001514035.1_ASM151403v1;GCF_001514035.1_ASM151403v1_genomic.fasta;GCF_001514035.1_ASM151403v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_001514035.1_ASM151403v1_genomic.txt
Streptomyces viridosporus;67581;FALSE;gram stain positive;aerobic;FALSE;TRUE;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces viridosporus;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/235/GCF_002078235.1_ASM207823v1;GCF_002078235.1_ASM207823v1_genomic.fasta;GCF_002078235.1_ASM207823v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_002078235.1_ASM207823v1_genomic.txt
Citrobacter werkmanii;67827;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 2;NA;NA;NA;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter werkmanii;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/645/GCF_008693645.1_ASM869364v1;GCF_008693645.1_ASM869364v1_genomic.fasta;GCF_008693645.1_ASM869364v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_008693645.1_ASM869364v1_genomic.txt
Citrobacter gillenii;67828;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 2;NA;NA;NA;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter gillenii;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/429/605/GCF_003429605.1_ASM342960v1;GCF_003429605.1_ASM342960v1_genomic.fasta;GCF_003429605.1_ASM342960v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_003429605.1_ASM342960v1_genomic.txt
Citrobacter murliniae;67829;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 2;NA;NA;NA;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter murliniae;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/801/125/GCF_004801125.1_ASM480112v1;GCF_004801125.1_ASM480112v1_genomic.fasta;GCF_004801125.1_ASM480112v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_004801125.1_ASM480112v1_genomic.txt
Streptomyces alanosinicus;68171;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;NA;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces alanosinicus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/650/595/GCA_014650595.1_ASM1465059v1;GCA_014650595.1_ASM1465059v1_genomic.fasta;GCA_014650595.1_ASM1465059v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014650595.1_ASM1465059v1_genomic.txt
Kitasatospora albolonga;68173;FALSE;gram stain positive;aerobic;NA;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Kitasatospora;Kitasatospora albolonga;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/585/GCF_002082585.1_ASM208258v1;GCF_002082585.1_ASM208258v1_genomic.fasta;GCF_002082585.1_ASM208258v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_002082585.1_ASM208258v1_genomic.txt
Streptomyces anthocyanicus;68174;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces anthocyanicus;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/226/945/GCF_036226945.1_ASM3622694v1;GCF_036226945.1_ASM3622694v1_genomic.fasta;GCF_036226945.1_ASM3622694v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_036226945.1_ASM3622694v1_genomic.txt
Streptomyces chryseus;68186;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces chryseus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/650/855/GCA_014650855.1_ASM1465085v1;GCA_014650855.1_ASM1465085v1_genomic.fasta;GCA_014650855.1_ASM1465085v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014650855.1_ASM1465085v1_genomic.txt
Streptomyces clavifer;68188;FALSE;gram stain positive;aerobic;NA;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces clavifer;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/345/975/GCF_036345975.1_ASM3634597v1;GCF_036345975.1_ASM3634597v1_genomic.fasta;GCF_036345975.1_ASM3634597v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_036345975.1_ASM3634597v1_genomic.txt
Streptomyces djakartensis;68193;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces djakartensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/651/075/GCA_014651075.1_ASM1465107v1;GCA_014651075.1_ASM1465107v1_genomic.fasta;GCA_014651075.1_ASM1465107v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014651075.1_ASM1465107v1_genomic.txt
Streptomyces geysiriensis;68207;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces geysiriensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/651/095/GCA_014651095.1_ASM1465109v1;GCA_014651095.1_ASM1465109v1_genomic.fasta;GCA_014651095.1_ASM1465109v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014651095.1_ASM1465109v1_genomic.txt
Streptomyces griseochromogenes;68214;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces griseochromogenes;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/625/GCF_001542625.1_ASM154262v2;GCF_001542625.1_ASM154262v2_genomic.fasta;GCF_001542625.1_ASM154262v2_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_001542625.1_ASM154262v2_genomic.txt
Streptomyces minutiscleroticus;68238;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces minutiscleroticus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/650/875/GCA_014650875.1_ASM1465087v1;GCA_014650875.1_ASM1465087v1_genomic.fasta;GCA_014650875.1_ASM1465087v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014650875.1_ASM1465087v1_genomic.txt
Streptomyces mirabilis;68239;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces mirabilis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/069/355/GCF_036069355.1_ASM3606935v1;GCF_036069355.1_ASM3606935v1_genomic.fasta;GCF_036069355.1_ASM3606935v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_036069355.1_ASM3606935v1_genomic.txt
Streptomyces niveoruber;68243;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces niveoruber;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/649/135/GCA_014649135.1_ASM1464913v1;GCA_014649135.1_ASM1464913v1_genomic.fasta;GCA_014649135.1_ASM1464913v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014649135.1_ASM1464913v1_genomic.txt
Streptomyces omiyaensis;68247;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces omiyaensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/650/895/GCA_014650895.1_ASM1465089v1;GCA_014650895.1_ASM1465089v1_genomic.fasta;GCA_014650895.1_ASM1465089v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014650895.1_ASM1465089v1_genomic.txt
Streptomyces poonensis;68255;FALSE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces poonensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/650/915/GCA_014650915.1_ASM1465091v1;GCA_014650915.1_ASM1465091v1_genomic.fasta;GCA_014650915.1_ASM1465091v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014650915.1_ASM1465091v1_genomic.txt
Streptomyces rishiriensis;68264;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces rishiriensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/112/535/GCF_003112535.1_ASM311253v1;GCF_003112535.1_ASM311253v1_genomic.fasta;GCF_003112535.1_ASM311253v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_003112535.1_ASM311253v1_genomic.txt
Streptomyces showdoensis;68268;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces showdoensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/008/345/GCF_001008345.1_ASM100834v1;GCF_001008345.1_ASM100834v1_genomic.fasta;GCF_001008345.1_ASM100834v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_001008345.1_ASM100834v1_genomic.txt
Streptomyces spectabilis;68270;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces spectabilis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/795/GCF_008704795.1_ASM870479v1;GCF_008704795.1_ASM870479v1_genomic.fasta;GCF_008704795.1_ASM870479v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_008704795.1_ASM870479v1_genomic.txt
Streptomyces torulosus;68276;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;TRUE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces torulosus;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/419/765/GCF_001419765.1_ASM141976v1;GCF_001419765.1_ASM141976v1_genomic.fasta;GCF_001419765.1_ASM141976v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_001419765.1_ASM141976v1_genomic.txt
Streptomyces tricolor;68277;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces tricolor;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/155/905/GCF_002155905.1_ASM215590v1;GCF_002155905.1_ASM215590v1_genomic.fasta;GCF_002155905.1_ASM215590v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_002155905.1_ASM215590v1_genomic.txt
Streptomyces tuirus;68278;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces tuirus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/701/095/GCA_014701095.1_ASM1470109v1;GCA_014701095.1_ASM1470109v1_genomic.fasta;GCA_014701095.1_ASM1470109v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014701095.1_ASM1470109v1_genomic.txt
Streptomyces zaomyceticus;68286;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces zaomyceticus;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/035/005/GCF_036035005.1_ASM3603500v1;GCF_036035005.1_ASM3603500v1_genomic.fasta;GCF_036035005.1_ASM3603500v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_036035005.1_ASM3603500v1_genomic.txt
Borreliella yangtzensis;683292;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 2;NA;TRUE;FALSE;NA;NA;spirillum;TRUE;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Borreliaceae;Borreliella;Borreliella yangtzensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/436/185/GCF_030436185.1_ASM3043618v1;GCF_030436185.1_ASM3043618v1_genomic.fasta;GCF_030436185.1_ASM3043618v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_030436185.1_ASM3043618v1_genomic.txt
Erwinia aphidicola;68334;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;TRUE;NA;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;Erwinia aphidicola;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/866/135/GCF_036866135.1_ASM3686613v1;GCF_036866135.1_ASM3686613v1_genomic.fasta;GCF_036866135.1_ASM3686613v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_036866135.1_ASM3686613v1_genomic.txt
Candidimonas nitroreducens;683354;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Candidimonas;Candidimonas nitroreducens;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/565/GCF_002209565.1_ASM220956v1;GCF_002209565.1_ASM220956v1_genomic.fasta;GCF_002209565.1_ASM220956v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_002209565.1_ASM220956v1_genomic.txt
Yersinia nurmii;685706;TRUE;gram stain negative;aerobic;NA;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia nurmii;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/112/925/GCF_001112925.1_8016_2_91;GCF_001112925.1_8016_2_91_genomic.fasta;GCF_001112925.1_8016_2_91_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_001112925.1_8016_2_91_genomic.txt
Bartonella callosciuri;686223;FALSE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;TRUE;FALSE;FALSE;gamma;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella;Bartonella callosciuri;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/203/215/GCA_014203215.1_ASM1420321v1;GCA_014203215.1_ASM1420321v1_genomic.fasta;GCA_014203215.1_ASM1420321v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014203215.1_ASM1420321v1_genomic.txt
Micromonospora haikouensis;686309;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;NA;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora haikouensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/091/595/GCA_900091595.1_IMG-taxon_2622736584_annotated_assembly;GCA_900091595.1_IMG-taxon_2622736584_annotated_assembly_genomic.fasta;GCA_900091595.1_IMG-taxon_2622736584_annotated_assembly_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_900091595.1_IMG-taxon_2622736584_annotated_assembly_genomic.txt
Gordonia humi;686429;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia;Gordonia humi;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/197/435/GCA_014197435.1_ASM1419743v1;GCA_014197435.1_ASM1419743v1_genomic.fasta;GCA_014197435.1_ASM1419743v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014197435.1_ASM1419743v1_genomic.txt
Enterobacter cancerogenus;69218;TRUE;gram stain negative;aerobic;FALSE;TRUE;FALSE;biosafety level 2;NA;TRUE;TRUE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cancerogenus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/047/785/GCA_019047785.1_ASM1904778v1;GCA_019047785.1_ASM1904778v1_genomic.fasta;GCA_019047785.1_ASM1904778v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019047785.1_ASM1904778v1_genomic.txt
Lelliottia nimipressuralis;69220;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;TRUE;NA;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Lelliottia;Lelliottia nimipressuralis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/981/525/GCA_031981525.1_ASM3198152v1;GCA_031981525.1_ASM3198152v1_genomic.fasta;GCA_031981525.1_ASM3198152v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_031981525.1_ASM3198152v1_genomic.txt
Erwinia psidii;69224;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;TRUE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;Erwinia psidii;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/846/135/GCF_003846135.1_ASM384613v1;GCF_003846135.1_ASM384613v1_genomic.fasta;GCF_003846135.1_ASM384613v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_003846135.1_ASM384613v1_genomic.txt
Aquamicrobium defluvii;69279;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquamicrobium;Aquamicrobium defluvii;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/363/725/GCF_004363725.1_ASM436372v1;GCF_004363725.1_ASM436372v1_genomic.fasta;GCF_004363725.1_ASM436372v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_004363725.1_ASM436372v1_genomic.txt
Vibrio nereis;693;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio nereis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/274/805/GCF_001274805.1_ASM127480v1;GCF_001274805.1_ASM127480v1_genomic.fasta;GCF_001274805.1_ASM127480v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_001274805.1_ASM127480v1_genomic.txt
Vibrio atlanticus;693153;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio atlanticus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/465/GCA_000091465.1_ASM9146v1;GCA_000091465.1_ASM9146v1_genomic.fasta;GCA_000091465.1_ASM9146v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_000091465.1_ASM9146v1_genomic.txt
Microbacterium arabinogalactanolyticum;69365;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium arabinogalactanolyticum;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/268/005/GCF_030268005.1_ASM3026800v1;GCF_030268005.1_ASM3026800v1_genomic.fasta;GCF_030268005.1_ASM3026800v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_030268005.1_ASM3026800v1_genomic.txt
